run_id,session_id,family_id,variant_id,scenario_name,label,mode,window_index,window_start_utc,window_end_utc,window_duration_s,sample_filename,behavioural_family,protocol_id,source_health_status,sysmon_process_create_count,sysmon_unique_process_image_count,sysmon_powershell_process_count,sysmon_cmd_process_count,sysmon_unique_parent_child_pair_count,sysmon_network_connect_count,sysmon_unique_destination_count,sysmon_dns_query_count,sysmon_file_create_count,sysmon_file_delete_count,sysmon_registry_event_count,osquery_process_count_delta,wazuh_level_00_count,wazuh_level_01_count,wazuh_level_02_count,wazuh_level_03_count,wazuh_level_04_count,wazuh_level_05_count,wazuh_level_06_count,wazuh_level_07_count,wazuh_level_08_count,wazuh_level_09_count,wazuh_level_10_count,wazuh_level_11_count,wazuh_level_12_count,wazuh_level_13_count,wazuh_level_14_count,wazuh_level_15_count,wazuh_alert_total_count,suricata_alert_count,exact_indicator_hit_count,exact_indicator_prediction,rule_baseline_prediction
S01-009-B3-V1,S01,B3,V1,B3-V1,0,Formal,3,2026-07-28T18:37:16.241017Z,2026-07-28T18:37:46.241017Z,30,S01-009-B3-V1-w03,B3,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,1
S01-010-B3-V2,S01,B3,V2,B3-V2,0,Formal,0,2026-07-28T18:40:05.072888Z,2026-07-28T18:40:35.072888Z,30,S01-010-B3-V2-w00,B3,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,1
S01-010-B3-V2,S01,B3,V2,B3-V2,0,Formal,1,2026-07-28T18:40:35.072888Z,2026-07-28T18:41:05.072888Z,30,S01-010-B3-V2-w01,B3,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
S01-010-B3-V2,S01,B3,V2,B3-V2,0,Formal,2,2026-07-28T18:41:05.072888Z,2026-07-28T18:41:35.072888Z,30,S01-010-B3-V2-w02,B3,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1
S01-010-B3-V2,S01,B3,V2,B3-V2,0,Formal,3,2026-07-28T18:41:35.072888Z,2026-07-28T18:42:05.072888Z,30,S01-010-B3-V2-w03,B3,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,1,5,0,-1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,1
S01-011-B2-V2,S01,B2,V2,B2-V2,0,Formal,0,2026-07-28T18:44:23.356927Z,2026-07-28T18:44:53.356927Z,30,S01-011-B2-V2-w00,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,1
S01-011-B2-V2,S01,B2,V2,B2-V2,0,Formal,1,2026-07-28T18:44:53.356927Z,2026-07-28T18:45:23.356927Z,30,S01-011-B2-V2-w01,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,3,0,0,1
S01-011-B2-V2,S01,B2,V2,B2-V2,0,Formal,2,2026-07-28T18:45:23.356927Z,2026-07-28T18:45:53.356927Z,30,S01-011-B2-V2-w02,B2,EDR-MSC-FINAL,complete,2,2,0,0,2,2,1,0,2,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,6,3,0,0,1
S01-011-B2-V2,S01,B2,V2,B2-V2,0,Formal,3,2026-07-28T18:45:53.356927Z,2026-07-28T18:46:23.356927Z,30,S01-011-B2-V2-w03,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1
S01-012-S1-V2,S01,S1,V2,S1-V2,1,Formal,0,2026-07-28T18:48:41.498221Z,2026-07-28T18:49:11.498221Z,30,S01-012-S1-V2-w00,S1,EDR-MSC-FINAL,complete,4,3,0,0,3,0,0,0,55,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,5,1,0,0,1
S01-012-S1-V2,S01,S1,V2,S1-V2,1,Formal,1,2026-07-28T18:49:11.498221Z,2026-07-28T18:49:41.498221Z,30,S01-012-S1-V2-w01,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
S01-012-S1-V2,S01,S1,V2,S1-V2,1,Formal,2,2026-07-28T18:49:41.498221Z,2026-07-28T18:50:11.498221Z,30,S01-012-S1-V2-w02,S1,EDR-MSC-FINAL,complete,2,2,0,1,2,2,1,0,1,0,0,-4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1
S01-012-S1-V2,S01,S1,V2,S1-V2,1,Formal,3,2026-07-28T18:50:11.498221Z,2026-07-28T18:50:41.498221Z,30,S01-012-S1-V2-w03,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,20,18,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
S02-001-B1-V1,S02,B1,V1,B1-V1,0,Formal,0,2026-07-28T19:44:33.274737Z,2026-07-28T19:45:03.274737Z,30,S02-001-B1-V1-w00,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1
S02-001-B1-V1,S02,B1,V1,B1-V1,0,Formal,1,2026-07-28T19:45:03.274737Z,2026-07-28T19:45:33.274737Z,30,S02-001-B1-V1-w01,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,5,2,0,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
S02-001-B1-V1,S02,B1,V1,B1-V1,0,Formal,2,2026-07-28T19:45:33.274737Z,2026-07-28T19:46:03.274737Z,30,S02-001-B1-V1-w02,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
S02-001-B1-V1,S02,B1,V1,B1-V1,0,Formal,3,2026-07-28T19:46:03.274737Z,2026-07-28T19:46:33.274737Z,30,S02-001-B1-V1-w03,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,1
S02-002-B2-V2,S02,B2,V2,B2-V2,0,Formal,0,2026-07-28T19:48:49.637652Z,2026-07-28T19:49:19.637652Z,30,S02-002-B2-V2-w00,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,4,0,0,-2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,3,0,0,1
S02-002-B2-V2,S02,B2,V2,B2-V2,0,Formal,1,2026-07-28T19:49:19.637652Z,2026-07-28T19:49:49.637652Z,30,S02-002-B2-V2-w01,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,5,3,0,0,1
S02-002-B2-V2,S02,B2,V2,B2-V2,0,Formal,2,2026-07-28T19:49:49.637652Z,2026-07-28T19:50:19.637652Z,30,S02-002-B2-V2-w02,B2,EDR-MSC-FINAL,complete,2,2,0,0,2,0,0,0,2,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,4,1,0,0,1
S02-002-B2-V2,S02,B2,V2,B2-V2,0,Formal,3,2026-07-28T19:50:19.637652Z,2026-07-28T19:50:49.637652Z,30,S02-002-B2-V2-w03,B2,EDR-MSC-FINAL,complete,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1
S02-003-B1-V2,S02,B1,V2,B1-V2,0,Formal,0,2026-07-28T19:53:08.405278Z,2026-07-28T19:53:38.405278Z,30,S02-003-B1-V2-w00,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,1,1,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1
S02-003-B1-V2,S02,B1,V2,B1-V2,0,Formal,1,2026-07-28T19:53:38.405278Z,2026-07-28T19:54:08.405278Z,30,S02-003-B1-V2-w01,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,2,1,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
S02-003-B1-V2,S02,B1,V2,B1-V2,0,Formal,2,2026-07-28T19:54:08.405278Z,2026-07-28T19:54:38.405278Z,30,S02-003-B1-V2-w02,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
S02-003-B1-V2,S02,B1,V2,B1-V2,0,Formal,3,2026-07-28T19:54:38.405278Z,2026-07-28T19:55:08.405278Z,30,S02-003-B1-V2-w03,B1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,1
S02-004-S2-V1,S02,S2,V1,S2-V1,1,Formal,0,2026-07-28T19:57:27.575132Z,2026-07-28T19:57:57.575132Z,30,S02-004-S2-V1-w00,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,3,1,0,41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,38,1,1
S02-004-S2-V1,S02,S2,V1,S2-V1,1,Formal,1,2026-07-28T19:57:57.575132Z,2026-07-28T19:58:27.575132Z,30,S02-004-S2-V1-w01,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,1
S02-004-S2-V1,S02,S2,V1,S2-V1,1,Formal,2,2026-07-28T19:58:27.575132Z,2026-07-28T19:58:57.575132Z,30,S02-004-S2-V1-w02,S2,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,1,1
S02-004-S2-V1,S02,S2,V1,S2-V1,1,Formal,3,2026-07-28T19:58:57.575132Z,2026-07-28T19:59:27.575132Z,30,S02-004-S2-V1-w03,S2,EDR-MSC-FINAL,complete,2,2,1,1,2,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,1
S02-005-S1-V2,S02,S1,V2,S1-V2,1,Formal,0,2026-07-28T20:01:43.716258Z,2026-07-28T20:02:13.716258Z,30,S02-005-S1-V2-w00,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,1,1,0,55,0,0,-1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1
S02-005-S1-V2,S02,S1,V2,S1-V2,1,Formal,1,2026-07-28T20:02:13.716258Z,2026-07-28T20:02:43.716258Z,30,S02-005-S1-V2-w01,S1,EDR-MSC-FINAL,complete,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1
