design,left,right,metric,median_difference,lower_95,upper_95,interval_includes_zero
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-xgboost,false_positive_rate,0.6666666666666667,0.3333333333333333,1.0,False
family_holdout_2_B2_S2,hybrid-logistic_regression,hybrid-xgboost,balanced_accuracy,-0.33333333333333337,-0.5,-0.16666666666666663,False
family_holdout_2_B2_S2,hybrid-logistic_regression,rule_baseline,mcc,0.30151134457776363,0.0,0.5773502691896257,True
family_holdout_2_B2_S2,hybrid-logistic_regression,rule_baseline,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,rule_baseline,false_positive_rate,-0.16666666666666663,-0.5,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,rule_baseline,balanced_accuracy,0.08333333333333337,0.0,0.25,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-logistic_regression,mcc,-0.40559543660878394,-0.8451542547285166,-0.12651259919699806,False
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-logistic_regression,false_positive_rate,0.5,0.16250000000000006,0.8333333333333334,False
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-logistic_regression,balanced_accuracy,-0.2499999999999999,-0.41666666666666674,-0.08124999999999945,False
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-random_forest,mcc,0.30151134457776363,0.0,0.5773502691896257,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-random_forest,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-random_forest,false_positive_rate,-0.16666666666666663,-0.5,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-random_forest,balanced_accuracy,0.08333333333333337,0.0,0.25,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-xgboost,mcc,0.30151134457776363,0.0,0.5773502691896257,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-xgboost,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-xgboost,false_positive_rate,-0.16666666666666663,-0.5,0.0,True
family_holdout_2_B2_S2,hybrid-logistic_regression,telemetry_only-xgboost,balanced_accuracy,0.08333333333333337,0.0,0.25,True
family_holdout_2_B2_S2,hybrid-random_forest,hybrid-xgboost,mcc,-0.8451542547285166,-1.0,-0.5773502691896257,False
family_holdout_2_B2_S2,hybrid-random_forest,hybrid-xgboost,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,hybrid-xgboost,false_positive_rate,0.8333333333333334,0.5,1.0,False
family_holdout_2_B2_S2,hybrid-random_forest,hybrid-xgboost,balanced_accuracy,-0.41666666666666674,-0.5,-0.25,False
family_holdout_2_B2_S2,hybrid-random_forest,rule_baseline,mcc,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,rule_baseline,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,rule_baseline,false_positive_rate,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,rule_baseline,balanced_accuracy,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-logistic_regression,mcc,-0.7071067811865476,-1.0,-0.4472135954999579,False
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-logistic_regression,recall,0.0,0.0,0.0,True
family_holdout_2_B2_S2,hybrid-random_forest,telemetry_only-logistic_regression,false_positive_rate,0.6666666666666667,0.33333333333333337,1.0,False
